canonical_work_id,edition_title,language,publication_date,publisher,edition_statement,format,isbn10,isbn13,doi,oclc,source_ids,confidence,source_urls,amazon_search_url,amazon_asin,amazon_marketplace,amazon_stars,amazon_review_count,amazon_observed_at,amazon_source_url,amazon_match_confidence
36,Femtochemistry,en,1994,World Scientific,,,9810217366,9789810217365,,30914377,openlibrary:OL1105665M|openlibrary:OL9194193M|openlibrary:OL9194194M|openlibrary:OL9194274M,1.0,https://openlibrary.org/books/OL1105665M|https://openlibrary.org/books/OL9194193M|https://openlibrary.org/books/OL9194194M|https://openlibrary.org/books/OL9194274M,https://www.amazon.com/s?k=9789810217365,,,,,,,
34,Reise Durch Die Zeit,de,"March 3, 2006",Wiley-VCH,,,3906390322,9783906390321,,,openlibrary:OL12343752M,0.7,https://openlibrary.org/books/OL12343752M,https://www.amazon.com/s?k=9783906390321,,,,,,,
12,The Chemical bond,en,1992,Academic Press,,,0127796207,9780127796208,,24378291,openlibrary:OL9284168M|openlibrary:OL7329520M|openlibrary:OL1549982M,1.0,https://openlibrary.org/books/OL1549982M|https://openlibrary.org/books/OL7329520M|https://openlibrary.org/books/OL9284168M,https://www.amazon.com/s?k=9780127796208,,,,,,,
35,Time's mysteries and miracles,en,2005,Bibliotheca Alexandrina,,,,,,,openlibrary:OL16144685M,0.7,https://openlibrary.org/books/OL16144685M,https://www.amazon.com/s?k=Time%27s+mysteries+and+miracles,,,,,,,
5025,Nobel lectures 1975,en,1976,Nordita,,,,,,,openlibrary:OL16360684M,0.7,https://openlibrary.org/books/OL16360684M,https://www.amazon.com/s?k=Nobel+lectures+1975,,,,,,,
32,ʻAṣr al-ʻilm,ara,2005,Dār al-Shurūq,,,9770912883,9789770912881,,309849723,openlibrary:OL16380171M,0.7,https://openlibrary.org/books/OL16380171M,https://www.amazon.com/s?k=9789770912881,,,,,,,
13,Physical biology,en,2008,Imperial College Press,,,1848161999,9781848161993,,213407311,openlibrary:OL16679142M,0.7,https://openlibrary.org/books/OL16679142M,https://www.amazon.com/s?k=9781848161993,,,,,,,
38,Das neue chemische Laboratorium der Akademie der Wissenschaften zu München,de,1880,T. Ackermann,,,,,,,openlibrary:OL18466684M,0.7,https://openlibrary.org/books/OL18466684M,https://www.amazon.com/s?k=Das+neue+chemische+Laboratorium+der+Akademie+der+Wissenschaften+zu+Mu%CC%88nchen,,,,,,,
5020,Atomic interaction in penetration phenomena,en,1948,I Kommission hos Munksgaard,,,,,,4535034,openlibrary:OL196396M,0.7,https://openlibrary.org/books/OL196396M,https://www.amazon.com/s?k=Atomic+interaction+in+penetration+phenomena,,,,,,,
5021,The coupling of nuclear surface oscillations to the motion of individual nucleons,en,1952,I kommission hos Munksgaard,,,,,,6857655,openlibrary:OL202609M,0.7,https://openlibrary.org/books/OL202609M,https://www.amazon.com/s?k=The+coupling+of+nuclear+surface+oscillations+to+the+motion+of+individual+nucleons,,,,,,,
5022,Collective and individual-particle aspects of nuclear structure,en,1957,I kommission hos Munksgaard,,,,,,2321103,openlibrary:OL206053M,0.7,https://openlibrary.org/books/OL206053M,https://www.amazon.com/s?k=Collective+and+individual-particle+aspects+of+nuclear+structure,,,,,,,
5024,On the fine structure in Alpha decay,en,1955,I kommission hos Munksgaard,,,,,,5155060,openlibrary:OL209178M,0.7,https://openlibrary.org/books/OL209178M,https://www.amazon.com/s?k=On+the+fine+structure+in+Alpha+decay,,,,,,,
5019,Moments of inertia of rotating nuclei,en,1955,I kommission hos Munksgaard,,,,,,6858801,openlibrary:OL210785M,0.7,https://openlibrary.org/books/OL210785M,https://www.amazon.com/s?k=Moments+of+inertia+of+rotating+nuclei,,,,,,,
39,Gelehrte im für und wider,de,2002,Lit,,,3825860035,9783825860035,,,openlibrary:OL21230003M,0.7,https://openlibrary.org/books/OL21230003M,https://www.amazon.com/s?k=9783825860035,,,,,,,
40,Adolf von Baeyer's gesammelte werke.,de,1905,F. Vieweg und sohn,,,,,,8989080,openlibrary:OL6354286M|openlibrary:OL23377526M,1.0,https://openlibrary.org/books/OL23377526M|https://openlibrary.org/books/OL6354286M,https://www.amazon.com/s?k=Adolf+von+Baeyer%27s+gesammelte+werke.,,,,,,,
33,Beyond science,en,2008,Unversity of Malaya,,,,9789834429621,,369319760,openlibrary:OL23393346M,0.7,https://openlibrary.org/books/OL23393346M,https://www.amazon.com/s?k=9789834429621,,,,,,,
