review_key,nobel_api_id,laureate_name,candidate_title,candidate_role,classification,technicality_score,classification_confidence,relationship_confidence,relationship_status,warning_flags,reviewer_decision,reviewer_reason,reviewer
102::b803fc08224bf9b7bca74d4fde0fe83bfc747576c66ae361eeed019d34a285f0::author,102,Aage N. Bohr,Atomic interaction in penetration phenomena,author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::940eadaed014c337bd66bc6398f0cef3a790e4b2dcd08c97fa6b04479bceb1a3::author,102,Aage N. Bohr,Atomic interaction in penetration phenomena.,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::f2abf55286f0c59a4475676eb15f4390fb66c3c723e89486a28f64eaad94327b::author,102,Aage N. Bohr,Collective and individual-particle aspects of nuclear structure,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::9580f936f64586d62af27e2319d2a655e82e9c69ce5c8206422b995680650c7b::author,102,Aage N. Bohr,Collective and individual-particle aspects of nuclear structure,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::1d5d54f03cebd9b5e6e1b1494ca1c4e6079855169c1a0ff36bc00426196a939b::author,102,Aage N. Bohr,Moments of inertia of rotating nuclei,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::6169240f8b5963b6ad93b17f44fba911e0c28cfab898dd2f151379dd8ff74fee::author,102,Aage N. Bohr,Nobel lectures 1975,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::4aad2d951a7f16322e736fecb2773fa9a105766ec4369a5e2d87fffc34f3b1fa::author,102,Aage N. Bohr,Nuclear Structure,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::dd24bb1a5eacd532177ac3c105121251956949af0108fedbc9e59bed2327b88b::author,102,Aage N. Bohr,Nuclear Structure,author,unknown,0.79,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::ffa18df457464e16f3a2455709a99fca3e749d4abfcd55f0fe78990487488f73::author,102,Aage N. Bohr,On the fine structure in Alpha decay,author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::b4ca453293644e38895d98ce2008c7afd0e39d9f87214f6856cdac961d2a35af::author,102,Aage N. Bohr,Rotational states of atomic nuclei,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
102::f2e3db1c1874b05d5c2c17a84b314191b206be2624a6e7ef439faea4be15cce4::author,102,Aage N. Bohr,The coupling of nuclear surface oscillations to the motion of individual nucleons,author,unknown,0.67,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
779::5d3583de1522b755f76b5b17e6a1cc5a9d0f90d12f8bed3fe5a64ee49b5735fb::author,779,Aaron Ciechanover,Q136803662,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
866::aeab72a48600f8a22ab07cd0af34a5956e7de19c1398b6f4c2239b4a36e91e47::unknown,866,Adam G. Riess,Cosmological results from high-z supernovae,unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
866::c959325d4694b750053965cbb74d73b5992a1c6d547050754ba011d70cd550c4::unknown,866,Adam G. Riess,New Hubble space telescope discoveries of type Ia supernovae at z≥ 1: narrowing constraints on the early behavior of dark energy,unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
866::a91b8cebd808aac0e767acc18413b5d2416ab39949ed8bebdf53a4fb07806ed6::unknown,866,Adam G. Riess,Observational evidence from supernovae for an accelerating universe and a cosmological constant,unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
866::8c6b0733645b1e2a5a95518606f1d1f650a819a1f3c461fb46cf8e0025b3da83::unknown,866,Adam G. Riess,The high-Z supernova search: measuring cosmic deceleration and global curvature of the universe using type Ia supernovae,unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
866::97bb12f6762d29253c1303e7fcbe900304ca5be751d3539d43f199573443e962::unknown,866,Adam G. Riess,The seventh data release of the Sloan Digital Sky Survey,unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
866::a7b6e33183472c863a3ac8fe57c2f0166c1f2e9c7c8232e7b57e32433711de58::unknown,866,Adam G. Riess,Type Ia supernova discoveries at z> 1 from the Hubble Space Telescope: Evidence for past deceleration and constraints on dark energy evolution,unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
199::62f530de27b3e27fc1924a4149781ee8bfbdfa95562f66bc2f33938090a248db::unknown,199,Adolf Butenandt,"Adolf Butenandt und die Kaiser-Wilhelm-Gesellschaft: Wissenschaft, Industrie und Politik im ""Dritten Reich""",unknown,unknown,0.35,0.45,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
164::707dc99b66a01d82bf30c1e6745e914fb2d17d780131c1e902290aaf6dbd2e95::author,164,Adolf von Baeyer,Adolf von Baeyer's gesammelte werke.,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
164::1d1e9cecf9321c1a6a0b75db84a465467a6dbe4b7ab5a5f589d4b4dd1bf1d650::author,164,Adolf von Baeyer,Das neue chemische Laboratorium der Akademie der Wissenschaften zu München,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
164::67b4e7b13c673caa4539b90af94b653e13eebd880779d21b7c7d5f96ad2162ee::author,164,Adolf von Baeyer,Gelehrte im für und wider,author,unknown,0.2,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
164::d8ef71b3eae4a7de42a855401a4fca65a9bf98b9d78deb9f12a8be43e1e2fca5::author,164,Adolf von Baeyer,Liebig's verdienste um den unterricht in den naturwissenschaften,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
164::872e08d92e11f4a64980f38e7619d64de841d737eba97a43450203eda9ed1d9f::author,164,Adolf von Baeyer,Ueber den kreislauf des kohlenstoffs in der organischen natur,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
164::e9617a4da1f0478edb0d1481e2104f3463c35883636a828a35b2c344ac558454::author,164,Adolf von Baeyer,Ueber die chemische Synthese,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::ab70e332a22538c2678eb81bc95ede369d510c8baf693b6663c81c26d41a0e1e::author,292,Ahmed Zewail,4D electron microscopy,author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::134f2ec00cc16ea1a397fc3d4d2fd0f3510b6de6f44935e7a5359d77f3764b4d::author,292,Ahmed Zewail,4d Visualization of Matter,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::ea84627612c2f8b21aa1b18728411fff7d6cb1c70360f99f8f4f6fa53af21872::author,292,Ahmed Zewail,Advances in Laser Chemistry,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
