laureate_name,nobel_api_id,prize_categories,prize_years,prize_subfields,award_summaries,preferred_title,original_title,first_publication_year,role,coauthors_or_coeditors,work_type,technicality_score,audience_level,review_status,relationship_confidence,overall_confidence,edition_count,languages,isbn13s,dois,oclc_numbers,wikidata_qid,openlibrary_work_id,source_count,source_urls,notes
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"Atomic Interaction in Penetration Phenomena, by Aage Bohr",,1948,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=Ko8iQwAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Atomic interaction in penetration phenomena,,1948,author,,reference,0.55,professional,provisional,0.85,0.7,3,de|en,,,4535034,,OL31359245W,2,https://books.google.com/books?id=8g0WngEACAAJ|https://openlibrary.org/books/OL196396M|https://openlibrary.org/books/OL43008736M|https://openlibrary.org/works/OL1274859W|https://openlibrary.org/works/OL31359245W,reference indicators: reference; professional audience indicators: reference
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Collective Co-ordinates for nuclear rotation,,1958,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=E2TCMAAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Collective Nuclear Motion and the Unified Model,,1955,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=L4QpnQEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Collective Nuclear Motion and the Unified Model. A. Bohr and B. R. Mottelson,,1955,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=ivL4OQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"Collective and Individual-particle Aspects of Nuclear Structure, by Aage Bohr and Ben R. Mottelson",,1953,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=cy8ZzwEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"Collective and Individual-particle Aspects of Nuclear Structure, by Aage Bohr and Ben R. Mottelson. 2°ed",,1957,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=Z0pOewAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Collective and individual-particle aspects of nuclear structure,,1953,author,,unknown,0.35,unknown,needs_review,0.65,0.45,1,en,,,14249139,,OL43480009W,1,https://openlibrary.org/books/OL59258417M|https://openlibrary.org/works/OL43480009W,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Collective and individual-particle aspects of nuclear structure,,1957,author,,unknown,0.35,unknown,provisional,0.85,0.45,2,en,,,2321103,,OL1274860W,2,https://books.google.com/books?id=J8sIEHZzI1gC|https://openlibrary.org/books/OL206053M|https://openlibrary.org/works/OL1274860W,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Concepts of nuclear structure,,1971,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=X46HtQEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Deformacje jądrowe,,1984,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,pl,,,,,,1,https://books.google.com/books?id=Y-ip0AEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Einteilchenbewegung,,1981,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=xatP0AEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"Electric Dipole Moment Associated with Octupole Vibrations of a Spheroidal Nucleus. Aage Bohr and Ben R. Mottelson,...",,1957,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=d9JBHAAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Electric dipole moment associated with octupole vibrations of a spheroidal nucleus,,1957,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=LAeYRAAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Features of Nuclear Deformations Produced by the Alignment of Individual Particles Or Pairs,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=5YmsAQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Intensity Rules for Beta and Gamma Transitions to Nuclear Rotational States,,1955,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=RQfl0QEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Kerndeformationen,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=YabPzgEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Kerndeformationen,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=haffPgAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Lectures on Nuclear Structure and Energy Spectra,,1962,author,,textbook,0.72,undergraduate,needs_review,0.55,0.55,1,en,,,,,,1,https://books.google.com/books?id=to15QwAACAAJ,textbook indicators: lectures on; undergraduate audience indicators: lectures on
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Les prix Nobel en 1974,,1975,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=6Uc00AEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Matematis-fysiske meddelelser,,1957,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=69e_zgEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"Moments of Inertia of Rotating Nuclei, by Aage Bohr and Ben Mottelson",,1955,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=eyeGQwAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Moments of inertia of rotating nuclei,,1955,author,,unknown,0.35,unknown,provisional,0.85,0.45,4,de|en,,,6858801,,OL1274862W,2,https://books.google.com/books?id=-bsezwEACAAJ|https://books.google.com/books?id=2BrNuAAACAAJ|https://books.google.com/books?id=QPsMzwEACAAJ|https://openlibrary.org/books/OL210785M|https://openlibrary.org/works/OL1274862W,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nobel lectures 1975,,1976,author,,unknown,0.35,unknown,provisional,0.85,0.45,2,en,,,,,OL1274863W,2,https://books.google.com/books?id=oX-hNQAACAAJ|https://openlibrary.org/books/OL16360684M|https://openlibrary.org/works/OL1274863W,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,,author,Ben R. Mottelson,unknown,0.35,unknown,needs_review,0.65,0.45,0,,,,,Q60451809,,1,https://www.wikidata.org/wiki/Q60451809,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1969,author,Ben R. Mottelson,reference,1.0,graduate,provisional,0.85,0.7,8,en,9780318354682|9780318354699|9780805310160|9780805310177|9789810231972|9789810239800|9789812386601,,1030002447|234294991|504398,,OL1274866W,2,https://books.google.com/books?id=iLzRpwAACAAJ|https://openlibrary.org/books/OL10450839M|https://openlibrary.org/books/OL10450840M|https://openlibrary.org/books/OL11276638M|https://openlibrary.org/books/OL13168130M|https://openlibrary.org/books/OL20668079M|https://openlibrary.org/books/OL43097039M|https://openlibrary.org/books/OL49243333M|https://openlibrary.org/books/OL5631869M|https://openlibrary.org/books/OL702906M|https://openlibrary.org/books/OL9194703M|https://openlibrary.org/books/OL9195016M|https://openlibrary.org/works/OL1274866W,reference indicators: reference; graduate audience indicators: advanced
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=zAqkxwEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=y8APAQAAMAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1975,author,,technical_monograph,0.57,graduate,needs_review,0.55,0.55,1,en,,,,,,1,https://books.google.com/books?id=M2v00AEACAAJ,technical indicators: advanced; graduate audience indicators: advanced
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1975,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=LRkCzQEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=DkZz0QEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure,,1971,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,9780805310153,,,,,1,https://books.google.com/books?id=nJW8AQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure [by] Aage Bohr [and] Ben R. Mottelson,,,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=ZvubwgEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structure: Single-particle motion.-v.2. Nuclear deformations,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=jjFRAAAAMAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear Structured,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=bGEnQwAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear deformations,,1975,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=sduXPgAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear structure,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=9iEMyAEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear structure. Vol. 1,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=Px0gygAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear structure. Volume 1: Single-particle motion,,1969,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=gXPNMgEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nuclear structure. vol. 2,,1975,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=GVyiXwAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"On the Fine Structure in Alpha Decay. By A. Bohr, P. O. Fröman, and B. R. Mottelson",,1955,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=9LzZMgEACAAJ,no decisive deterministic taxonomy indicator
